"AverageRating","Title"
0.17647058823529413,Star Wars: Episode V - The Empire Strikes Back (1980)
0.21052631578947367,The Dark Knight Rises (2012)
0.23529411764705882,Spider-Man: Across the Spider-Verse (2023)
0.25,The Dark Knight (2008)
0.2777777777777778,The Lord of the Rings: The Return of the King (2003)
0.375,Fight Club (1999)
0.391304347826087,Star Wars: Episode VI - Return of the Jedi (1983)
0.4,The Shining (1980)
0.4444444444444444,Good Will Hunting (1997)
0.47368421052631576,The Shawshank Redemption (1994)
0.47619047619047616,The Lord of the Rings: The Two Towers (2002)
0.55,Spider-Man: Into the Spider-Verse (2018)
0.5652173913043478,Dune: Part Two (2024)
0.5789473684210527,WALL·E (2008)
0.5882352941176471,Toy Story (1995)
0.5909090909090909,Pulp Fiction (1994)
0.6,Gladiator (2000)
0.6111111111111112,Parasite (2019)
0.6470588235294118,Avengers: Endgame (2019)
0.6818181818181818,Forrest Gump (1994)
0.6818181818181818,The Green Mile (1999)
0.6842105263157895,The Matrix (1999)
0.72,Raiders of the Lost Ark (1981)
0.7222222222222222,Interstellar (2014)
0.7272727272727273,Braveheart (1995)
0.7368421052631579,The Lion King (1994)
0.7368421052631579,Inglourious Basterds (2009)
0.7391304347826086,The Lord of the Rings: The Fellowship of the Ring (2001)
0.7777777777777778,The Silence of the Lambs (1991)
0.7894736842105263,Saving Private Ryan (1998)
0.8095238095238095,The Godfather (1972
0.8095238095238095,Se7en (1995)
0.8235294117647058,Aliens (1986)
0.8235294117647058,Toy Story 3 (2010)
0.8333333333333334,Reservoir Dogs (1992)
0.85,American History X (1998)
0.875,Star Wars: Episode IV - A New Hope (1977)
0.8947368421052632,Whiplash (2014)
0.9,Back to the Future (1985)
0.9090909090909091,Inception (2010)
0.9090909090909091,Apocalypse Now (1979)
0.9411764705882353,Joker (2019)
0.9444444444444444,Avengers: Infinity War (2018)
0.9444444444444444,American Beauty (1999)
1.0,Terminator 2: Judgment Day (1991)
1.0,Django Unchained (2012)
1.0,Psycho (1960)
1.0,Eternal Sunshine of the Spotless Mind (2004)
1.0454545454545454,Memento (2000)
1.0526315789473684,Goodfellas (1990)
1.0588235294117647,Coco (2017)
1.105263157894737,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
1.1333333333333333,The Godfather Part II (1974)
1.1363636363636365,The Usual Suspects (1995)
1.1428571428571428,"2001: A Space Odyssey (1968)"
1.2,Spirited Away (2001)
1.2352941176470589,The Departed (2006)
1.2380952380952381,Seven Samurai (1954)
1.25,Princess Mononoke (1997)
1.263157894736842,Casablanca (1942)
1.2727272727272727,Grave of the Fireflies (1988)
1.3333333333333333,Alien (1979)
1.3333333333333333,Amadeus (1984)
1.35,The Intouchables (2011)
1.3888888888888888,Oldboy (2003)
1.4,Requiem for a Dream (2000)
1.4375,Schindler's List (1993)
1.45,Harakiri (1962)
1.4545454545454546,It's a Wonderful Life (1946)
1.4736842105263157,"The Good, the Bad and the Ugly (1966)"
1.5,The Prestige (2006)
1.5263157894736843,Das Boot (1981)
1.5333333333333334,The Great Dictator (1940)
1.55,"12 Angry Men (1957)"
1.5555555555555556,Léon: The Professional (1994)
1.5555555555555556,Your Name. (2016)
1.56,Once Upon a Time in the West (1968)
1.5714285714285714,Life Is Beautiful (1997)
1.5833333333333333,Rear Window (1954)
1.6111111111111112,Singin' in the Rain (1952)
1.631578947368421,The Pianist (2002)
1.631578947368421,Modern Times (1936)
1.6470588235294117,Cinema Paradiso (1988)
1.6666666666666667,Witness for the Prosecution (1957)
1.7,One Flew Over the Cuckoo's Nest (1975)
1.7058823529411764,Lawrence of Arabia (1962)
1.7777777777777777,"3 Idiots (2009)"
1.7777777777777777,Ikiru (1952)
1.8095238095238095,Come and See (1985)
1.8125,The Lives of Others (2006)
1.8181818181818181,City of God (2002)
1.8235294117647058,Paths of Glory (1957)
1.8235294117647058,The Apartment (1960)
1.8333333333333333,Sunset Boulevard (1950)
1.85,Once Upon a Time in America (1984)
1.8888888888888888,The Hunt (2012)
1.9411764705882353,Capernaum (2018)
1.9473684210526316,City Lights (1931)
1.95,High and Low (1963)
2.0526315789473686,"12th Fail (2023)"
